libsigc++ 2.4.1-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.50.0-1
libspectre 0.2.7-2
libspiro 1:0.3.20150131-1
libsrtp 15.1c9bd90-3
libssh 0.7.0-2
libssh2 1.6.0-1
libsystemd 221-2
libtar 1.2.20-2
libtasn1 4.5-1
libthai 0.1.21-1
libtheora 1.1.1-3
libtiff 4.0.4-1
libtiger 0.3.4-4
libtirpc 0.3.2-2
libtool 2.4.6-2
libtracker-sparql 1.4.0-2
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.5-1
libunwind 1.1-2
libupnp 1.6.19-1
libusb 1.0.19-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutil-linux 2.26.2-1
libva 1.6.0-1
libvdpau 1.1-1
libvisio 0.1.1-2
libvisual 0.4.0-6
libvorbis 1.3.5-1
libvpx 1.4.0-2
libwbclient 4.2.2-1
libwebp 0.4.3-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libwpd 0.10.0-1
libwpg 0.3.0-1
libwps 0.4.0-1
libx11 1.6.3-1
libx264 2:144.20150223-1
libx86 1.1-4
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.4-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.2-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzip 1.0.1-1
libzrtpcpp 4.3.1-1
licenses 20140629-1
links 2.9-1
linphone 3.8.4-1
linux 4.0.7-2
linux-api-headers 4.0-1
linux-firmware 20150527.3161bfa-1
linux-headers 4.0.7-2
lirc 1:0.9.2.a-1
llvm-libs 3.6.1-1
lm_sensors 3.4.0-1
logrotate 3.9.1-1
loudmouth 1.4.3-5
lpsolve 5.5.2.0-3
lsof 4.88-2
lua 5.3.1-1
lua-expat 1.3.0-3
lua-socket 3.0rc1-7
lua51 5.1.5-4
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 0.12.2-2
lua52-luajson 1.3.3-2
lua52-socket 3.0rc1-7
lvm2 2.02.123-1
lynx 2.8.8-2
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
macchanger 1.7.0-1
make 4.1-1
man-db 2.7.1-1
man-pages 4.00-1
mangler 1.2.5-3
marco 1.10.1-1
mate-common 1.10.0-1
mate-desktop 1.10.0-1
mate-dialogs 1.8.0-2
mate-icon-theme 1.10.1-1
mate-media 1.10.0-2
mate-notification-daemon 1.10.0-1
mate-settings-daemon 1.10.0-1
mate-system-monitor 1.10.0-1
mate-terminal 1.10.0-1
mbedtls 1.3.11-1
mcabber 1.0.0-1
mcabber-module-urlopen-hg 35-1
mdadm 3.3.2-2
mdk3 v6-4
media-player-info 22-1
mediastreamer 2.11.2-2
menu-cache 1.0.0-1
mercurial 3.4.2-1
mesa 10.6.2-1
mesa-libgl 10.6.2-1
mime-types 9-1
mjpegtools 2.1.0-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mono 4.0.1.44-1
mono-addins 1.1-1
mono-upnp 0.1.2-2
mono-zeroconf 0.9.0-4
mozilla-common 1.4-4
mozilla_password_dump-git 20121015-1
mozplugger 2.1.6-1
mpfr 3.1.3-1
mpg123 1.22.1-1
mplayer 37379-3
mtdev 1.1.5-1
mtools 4.0.18-2
mtr 0.86-1
mumble-snapshot-tts 1.3.0_657_g06e19e6-1
musicbrainz 2.1.5-6
mutagen 1.29-1
mutt 1.5.23.hg.20150606-2
nano 2.4.2-1
naufrago 0.4-3
ncdu 1.11-1
ncurses 5.9-7
neon 0.30.1-1
net-snmp 5.7.3-2
net-tools 1.60.20130531git-1
netctl 1.10-2
nettle 3.1.1-1
nmap 6.47-3
notification-daemon 3.16.1-1
npapi-sdk 0.27.2-1
npapi-vlc-git 2.2.1.95.r1444.gd5accd8-1
npth 1.2-1
nspr 4.10.8-1
nss 3.19.2-2
ocl-icd 2.2.7-1
opencore-amr 0.1.3-2
openexr 2.2.0-2
openjdk8-doc 8.u45-1
openjpeg 1.5.2-1
openresolv 3.7.0-1
openssh 6.9p1-1
openssl 1.0.2.d-1
opus 1.1-1
orbit2 2.14.19-3
orc 0.4.23-1
orca-git 3.17.3.r50.g7c1c86f-1
ortp 0.24.2-1
os-prober 1.65-1
p11-kit 0.23.1-2
p7zip 9.38.1-3
packer 20140817-1
pacman 4.2.1-1
pacman-mirrorlist 20150618-1
pam 1.2.0-1
pambase 20130928-1
pandoc-bin 1.13.2-2
pango 1.36.8-1
pangomm 2.36.0-1
parted 3.2-2
paste 1.7.5.1-1
patch 2.7.5-1
pciutils 3.3.1-1
pcmanfm-git 1.2.3.r37.gaa3ca1c-1
pcmciautils 018-7
pcre 8.37-2
perl 5.22.0-1
perl-data-dump 1.22-1
perl-dbi-shell 11.95-4
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-listing 6.04-2
perl-file-slurp-tiny 0.003-2
perl-html-form 6.03-2
perl-html-parser 3.71-4
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.08-1
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.44-2
perl-io-socket-ssl 2.010-1
perl-io-string 1.08-9
perl-io-tee 0.64-5
perl-json 2.90-1
perl-libwww 6.08-1
perl-locale-gettext 1.05-12
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-1
perl-mozilla-ca 20141217-1
perl-mp3-info 1.24-4
perl-net-http 6.09-1
perl-net-ssleay 1.68-2
perl-sub-uplevel 0.25-1
perl-term-readkey 2.32-2
perl-term-readline-gnu 1.26-2
perl-term-readline-ttytter 1.4-2
perl-test-warn 0.30-1
perl-text-reform 1.20-3
perl-timedate 2.30-2
perl-tree-dag-node 1.23-1
perl-uri 1.68-1
perl-www-mechanize 1.74-1
perl-www-robotrules 6.02-2
perl-xml-fast 0.11-6
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-2
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-3
perl-xml-simple 2.20-3
php 5.6.11-1
pidgin 2.10.11-2
pidgin-extprefs 0.7-5
pinentry 0.9.1-1
pixman 0.32.6-1
pkg-config 0.28-2
pkgfile 15-1
pm-quirks 0.20100619-4
pm-utils 1.4.1-6
podofo 0.9.3-1
polkit 0.112-4
poppler 0.33.0-1
poppler-data 0.4.7-1
poppler-glib 0.33.0-1
popt 1.16-7
portaudio 19_20140130-1
printproto 1.0.5-3
procps-ng 3.3.10-2
protobuf 2.6.1-1
protobuf-c 1.1.1-1
psmisc 22.21-2
pth 2.0.7-5
purple-facebook a34b993324e4-1
pv 1.6.0-1
pygobject-devel 3.16.2-1
pygobject2-devel 2.28.6-11
pygtk 2.24.0-5
pyqt5-common 5.4.2-1
python 3.4.3-2
python-atspi 2.16.0-1
python-dbus 1.2.0-4
python-dbus-common 1.2.0-4
python-feedparser 5.2.0-1
python-github2-git 20110911-1
python-gobject 3.16.2-1
python-html2text 2015.6.12-1
python-setuptools 1:18.0.1-1
python-sgmllib 5.2.0-1
python-xdg 0.25-2
python2 2.7.10-1
python2-apsw 3.8.10.1-1
python2-atspi 2.16.0-1
python2-beaker 1.7.0-1
python2-cairo 1.10.0-2
python2-caja 1.10.0-1
python2-cffi 1.1.2-1
python2-characteristic 14.3.0-1
python2-chardet 2.3.0-1
python2-cherrypy 3.6.0-1
